average,label,anomaly
17.279688183903495,normal,non_anomaly
16.130825446589025,normal,non_anomaly
14.814927763210216,normal,non_anomaly
17.27553138180567,normal,non_anomaly
15.301358782479989,normal,non_anomaly
17.84579764099289,normal,non_anomaly
20.353446235555463,normal,non_anomaly
17.792346642648916,normal,non_anomaly
17.09008332929786,normal,non_anomaly
14.846756950265243,normal,non_anomaly
19.702599876904486,normal,non_anomaly
15.496118725402797,normal,non_anomaly
15.03445368909412,normal,non_anomaly
14.828026901194098,normal,non_anomaly
15.172090290651138,normal,non_anomaly
17.363753685699216,normal,non_anomaly
14.835977707761751,normal,non_anomaly
15.666449837270829,normal,non_anomaly
17.608951915536625,normal,non_anomaly
15.14949135567144,normal,non_anomaly
17.272211927239812,normal,non_anomaly
16.301790943286786,normal,non_anomaly
18.99112275921736,normal,non_anomaly
17.66255918247536,normal,non_anomaly
16.445391334195484,normal,non_anomaly
20.2719306194888,normal,non_anomaly
15.129307012742903,normal,non_anomaly
20.732951806068414,normal,non_anomaly
19.28334960200834,normal,non_anomaly
19.95190119463408,normal,non_anomaly
18.362772609945942,normal,non_anomaly
18.541674817265204,normal,non_anomaly
16.164308810724076,normal,non_anomaly
14.804360633339163,normal,non_anomaly
16.283693666010606,normal,non_anomaly
19.64923019085296,normal,non_anomaly
18.600491231296765,normal,non_anomaly
17.861392338730568,normal,non_anomaly
14.703930695921212,normal,non_anomaly
15.847852826491295,normal,non_anomaly
18.074492389868457,normal,non_anomaly
15.862246421378348,normal,non_anomaly
18.4442769104155,normal,non_anomaly
16.434783237602296,normal,non_anomaly
20.069428837221455,normal,non_anomaly
19.691710366166415,normal,non_anomaly
19.490331581846213,normal,non_anomaly
18.049357380456076,normal,non_anomaly
17.825354394242247,normal,non_anomaly
18.69023067485219,normal,non_anomaly
15.48075980389435,normal,non_anomaly
14.878566286308438,normal,non_anomaly
15.172471308055833,normal,non_anomaly
17.99461597523553,normal,non_anomaly
18.37890271280303,normal,non_anomaly
14.80919461151497,normal,non_anomaly
15.616331983795734,normal,non_anomaly
17.33487570748111,normal,non_anomaly
21.15571962851126,normal,non_anomaly
17.379738575705716,normal,non_anomaly
14.889231044535608,normal,non_anomaly
16.109584738327207,normal,non_anomaly
18.157482438709927,normal,non_anomaly
15.580648321076586,normal,non_anomaly
17.91665375897438,normal,non_anomaly
17.67171150472906,normal,non_anomaly
17.34910658018666,normal,non_anomaly
18.493703390651728,normal,non_anomaly
18.68798291254913,normal,non_anomaly
18.479656664583683,normal,non_anomaly
16.099482748687713,normal,non_anomaly
16.872541589313666,normal,non_anomaly
15.793739316504618,normal,non_anomaly
15.470980563460166,normal,non_anomaly
18.853993384658033,normal,non_anomaly
18.15890487782064,normal,non_anomaly
19.914513942728266,normal,non_anomaly
19.557988285566882,normal,non_anomaly
18.912800340920654,normal,non_anomaly
19.473343168847137,normal,non_anomaly
15.166162778717407,normal,non_anomaly
16.089611298334994,normal,non_anomaly
15.412562429568723,normal,non_anomaly
19.36591237001364,normal,non_anomaly
18.70978386866915,normal,non_anomaly
17.73088927720178,normal,non_anomaly
14.991984010534132,normal,non_anomaly
15.332418672112636,normal,non_anomaly
17.59100408617142,normal,non_anomaly
18.38023408699731,normal,non_anomaly
18.28027911640222,normal,non_anomaly
18.966509540755652,normal,non_anomaly
19.83574040546643,normal,non_anomaly
19.96285130922103,normal,non_anomaly
17.880649530833686,normal,non_anomaly
15.032584718449408,normal,non_anomaly
16.593729916457974,normal,non_anomaly
14.981864412425642,normal,non_anomaly
15.57792553541421,normal,non_anomaly
15.943556300301344,normal,non_anomaly
